# XDI/1.1
# Column.1: energy eV
# Column.2: norm
# Column.3: ifluor
# Column.4: i0
# Column.5: angle_drive
# Column.6: angle_read
# Column.7: time
# Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
# BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
# Param file : Std-EXAFS       energy axis(2)     Block =    6
# Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
# 1        6606.20   7061.20         6.50       1.00        70
# 2        7061.20   7076.20         1.00       1.00        15
# 3        7076.20   7181.20         0.10       2.00      1050
# 4        7181.20   7211.20         1.00       2.00        30
# 5        7211.20   7611.20         2.50       3.00       160
# 6        7611.20   8211.20         6.00       3.00       101
# Ortec(-1)     NDCH = 3
# Angle(c)  Angle(o)    time/s         2         3
# Mode         0         0         1         3
# Offset         0         0  7753.700  7157.100
# Process.program: xraylarch
# Process.version: 0.9.80
# Process.command: pre_edge(data, nvict=0, pre1=-150, pre2=-50, norm1=150, norm2=750, make_flat=True)
# Process.step1: energy = col1    # column 1: energy (eV)
# Process.step2: ifluor = col3    # column 3: fluorescence intensity
# Process.step3: i0     = col4    # column 4: incident beam intensity
# Process.step4: mu  = iflour/i0  
# Process.step5: edge_step =  0.098521351
# Process.step6: pre_edge = -0.027966096 +  4.853685e-6*energy
# Process.step7: intensity = norm = (mu - pre_edge) /edge_step
#---------------------------------
#  energy           norm             ifluor           i0               angle_drive      angle_read       time            
  7024.25586955    0.00049191034    10269.0000000    1662755.00000    16.2434700000    16.2432000000    1.00000000000
  7025.24907483    0.00071348248    10315.0000000    1663027.00000    16.2411100000    16.2413000000    1.00000000000
  7026.24257295    0.00021924437    10244.0000000    1663345.00000    16.2387500000    16.2386000000    1.00000000000
  7027.23636403    0.00031406360    10269.0000000    1663578.00000    16.2363900000    16.2366000000    1.00000000000
  7028.23044820    0.00055508833    10314.0000000    1663170.00000    16.2340300000    16.2339000000    1.00000000000
  7029.22482558   -0.00031448086    10175.0000000    1662428.00000    16.2316700000    16.2317000000    1.00000000000
  7030.21949631    0.00070314423    10349.0000000    1662316.00000    16.2293100000    16.2293000000    1.00000000000
  7031.21446051    0.00060993438    10358.0000000    1664926.00000    16.2269500000    16.2270000000    1.00000000000
  7032.20550050    0.00076348888    10393.0000000    1665215.00000    16.2246000000    16.2246000000    1.00000000000
  7032.30672949    0.00074435649    20779.0000000    3330052.00000    16.2243600000    16.2242000000    2.00000000000
  7032.40796151    0.00051226094    20699.0000000    3329169.00000    16.2241200000    16.2241000000    2.00000000000
  7032.50497838    0.00058859917    20724.0000000    3328911.00000    16.2238900000    16.2239000000    2.00000000000
  7032.60621635    0.00067803948    20745.0000000    3327312.00000    16.2236500000    16.2237000000    2.00000000000
  7032.70323892    0.00073859836    20762.0000000    3326604.00000    16.2234200000    16.2234000000    2.00000000000
